regulation_date 	 location_id 	 regulation
1/10/1985	 Cape Blanco North 	" For Sebastes complex north of Cape Blanco (4250' N latitude), established a 30,000-pound weekly trip limit of which no more than 10,000 pounds may be yellowtail rockfish (or 60,000 pounds once every two weeks of which no more than 20,000 pounds may be yellowtail rockfish with appropriate declaration to state in which fish are landed). "
1/10/1985	 Cape Blanco South 	" For Sebastes complex south of Cape Blanco, established a 40,000-pound trip limit without a trip frequency. "
4/28/1985	 ALL 	" Added a third option to land 7,500 pounds twice each week of which no more than 3,000 pounds in each landing may be yellowtail rockfish; landings declaration applies."
4/28/1985	 Cape Blanco North 	" For the Sebastes complex north of Cape Blanco (4250 N latitude), reduced the trip limit to 15,000 pounds once per week of which no more than 5,000 pounds may be yellowtail rockfish (or 30,000 pounds once every two weeks of which no more than 10,000 pounds may be yellowtail rockfish)."
9/1/1985	 ALL 	 Changed the management boundary line separating northern and southern trip limits for the Sebastes complex from Cape Blanco (4250' N latitude) northward 30 miles to the north jetty at Coos Bay (4322' N latitude). 
10/6/1985	 Vancouver Columbia 	" Increased the Vancouver and Columbia areas Sebastes complex trip limit to 20,000 pounds once per week except that no more than 5,000 pounds may be yellowtail rockfish (or one landing once every 2 weeks of 40,000 pounds of which no more than 10,000 pounds may be yellowtail rockfish, or 2 landings per week of 10,000 pounds each of which no more than 3,000 pounds per landing may be yellowtail rockfish; landings declaration apply). "
1/1/1986	 ALL 	" For Sebastes complex north of Coos Bay, established 25,000-pound weekly trip limit of which no more than 10,000 pounds may be yellowtail rockfish (or 50,000 pounds biweekly of which no more than 20,000 pounds may be yellowtail rockfish, or 12,500 pounds twice per week of which no more than 5,000 pounds may be yellowtail rockfish; biweekly and twice weekly landings require appropriate declaration to state in which fish are landed). For Sebastes complex south of Coos Bay, established 40,000-pound trip limit; no trip frequency. Landings of less than 3,000 pounds of Sebastes complex and widow rockfish unrestricted. Fishers fishing the Sebastes complex on both sides of the Coos Bay line during a trip must conform with the northern (more restrictive) trip limit. "
8/31/1986	 Coos Bay North 	" For Sebastes complex north of Coos Bay, Oregon, increased trip limits as follows: weekly =30,000 pounds of which no more than 12,500 pounds may be yellowtail rockfish; biweekly = 60,000 pounds of which no more than 25,000 pounds may be yellowtail rockfish and twice weekly = 15,000 pounds of which no more than 6,500 pounds may be yellowtail rockfish. "
1/1/1987	 Coos Bay North 	" For Sebastes complex north of Coos Bay, established 25,000-pound weekly trip limit of which no more than 10,000 pounds may be yellowtail rockfish (or 50,000 pounds biweekly of which no more than 20,000 pounds may be yellowtail rockfish, or 12,500 pounds twice per week of which no more than 5,000 pounds may be yellowtail rockfish; biweekly and twice weekly landings require appropriate declaration to state in which fish are landed); no restriction on landings less than 3,000 pounds. "
1/1/1987	 Coos Bay South 	" For Sebastes complex south of Coos Bay, established 40,000-pound trip limit; no trip frequency limit. "
5/3/1987	 ALL 	 Changed the definition of fishing week from Sunday through Saturday to Wednesday through Tuesday for Sebastes complex and widow rockfish. 
7/22/1987	 Coos Bay North 	" Reduced the weekly trip limit for yellowtail rockfish caught north of Coos Bay to 7,500 pounds (or 15,000 pounds biweekly, or 3,750 pounds twice weekly). "
1/1/1988	 ALL 	" For Sebastes complex north of Coos Bay, established a 25,000-pound weekly trip limit of which no more than 10,000 pounds may be yellowtail rockfish (or 50,000 pounds biweekly of which no more than 20,000 pounds may be yellowtail rockfish, or 12,500 pounds twice per week, of which no more than 5,000 pounds may be yellowtail rockfish; biweekly and twice weekly landings require appropriate declaration to state in which fish are landed). No restriction on landings less than 3,000 pounds. For Sebastes complex south of Coos Bay, established a 40,000-pound trip limit; no trip frequency restriction. "
10/5/1988	 Coos Bay North 	" reduced the weekly trip limit for yellowtail rockfish north of Coos Bay from 10,000 to 7,500 pounds (biweekly and twice weekly options to remain in effect). "
1/1/1989	 Coos Bay North 	" For Sebastes complex north of Coos Bay, established a 25,000 pounds weekly trip limit of which no more than 7,500 pounds may be yellowtail rockfish (or 50,000 pounds biweekly of which no more than 15,000 pounds may be yellowtail rockfish, or 12,500 pounds twice per week, of which no more than 3,750 pounds may be yellowtail rockfish; biweekly and twice weekly landings require appropriate declaration to state in which fish are landed). No restriction on landings less than 3,000 pounds. "
1/1/1989	 Coos Bay South 	" For Sebastes complex south of Coos Bay, established a 40,000-pound trip limit; no trip frequency restriction. "
7/26/1989	 ALL 	" Reduced the trip limit for yellowtail rockfish to 3,000 pounds or 20% of the Sebastes complex, whichever is greater. "
1/1/1990	 Coos Bay North 	" For Sebastes complex north of Coos Bay, established the weekly trip limit at 25,000 pounds of which no more than 7,500 pounds may be yellowtail rockfish (or 50,000 pounds biweekly of which no more than 15,000 pounds may be yellowtail rockfish, or 12,500 pounds twice per week of which no more than 3,750 pounds may be yellowtail rockfish; biweekly and twice weekly landings require appropriate declaration to state in which fish are landed).  No restriction on landings less than 3,000 pounds."
1/1/1990	 Coos Bay South 	" For Sebastes complex south of Coos Bay, established the trip limit at 40,000 pound; no trip frequency restriction."
7/25/1990	 ALL 	" Reduced the weekly trip limit for yellowtail rockfish caught with any gear north of Coos Bay to 3,000 pounds or 20% of the Sebastes complex, whichever is greater.  Biweekly and twice weekly landing options remain in effect."
1/1/1991	 Coos Bay North 	" For Sebastes complex north of Coos Bay, the weekly trip limit remains at 25,000 pounds of which no more than 5,000 pounds may be yellowtail rockfish (or 50,000 pounds biweekly of which no more than 10,000 pounds may be yellowtail rockfish, or 12,500 pounds twice per week of which no more than 3,000 pounds may be yellowtail rockfish; biweekly and twice weekly landings require appropriate declaration to state in which fish are landed).  No restriction on landings less than 3,000 pounds."
1/1/1991	 Coos Bay South 	" For Sebastes complex south of Coos Bay, the trip limit established at 25,000 pounds, including no more than 5,000 pounds of bocaccio; no trip frequency restriction; harvest guideline for bocaccio set at 1,100 mt (ABC = 800 mt)."
4/24/1991	 Coos Bay North 	" Reduced the trip limit for yellowtail rockfish north of Coos Bay from 5,000 pounds per week to 5,000 pounds once per 2 weeks."
1/1/1992	 4030 South 	" For the Sebastes complex, established a cumulative landing limit per specified 2 week period of 50,000 pounds.  Within this 50,000 pounds, no more than no more than 10,000 pounds cumulative may be bocaccio landed south of Cape Mendocino, California (4030  latitude).  All landings count toward the 50,000-pound limit."
1/1/1992	 All cape lookout 	" For the Sebastes complex, established a cumulative landing limit per specified 2 week period of 50,000 pounds.  Within this 50,000 pounds, no more than 8,000 pounds cumulative may be yellowtail rockfish landed north of Cape Lookout.  All landings count toward the 50,000-pound limit."
7/29/1992	 Coos Bay North 	" Reduced the cumulative 2-week landing limit of yellowtail rockfish north of the north jetty of Coos Bay, Oregon from 8,000 pounds to 6,000 pounds.  If a vessel fishes north of the boundary during the 2-week period, the northern limit applies."
1/1/1993	 4030 South 	" For Sebastes complex established a cumulative landing limit per specified 2-week period of 50,000 pounds.  Within this 50,000 pounds, no more than 10,000 pounds cumulative may be bocaccio caught south of Cape Mendocino, California (4030 latitude).  All landings count toward the cumulative limits.  If a vessel fishes in the more restrictive area at any time during the 2-week period, the more restrictive limit applies for that vessel."
1/1/1993	 Coos Bay North 	" For Sebastes complex north of Coos Bay, established a cumulative landing limit per specified 2-week period of 50,000 pounds.  Within this 50,000 pounds, no more than 8,000 pounds cumulative may be yellowtail rockfish caught north of Coos Bay    All landings count toward the cumulative limits.  If a vessel fishes in the more restrictive area at any time during the 2-week period, the more restrictive limit applies for that vessel."
4/21/1993	 Coos Bay North 	" Reduced the 2-week cumulative trip limit for yellowtail rockfish caught north of Coos Bay, Oregon (4321.34 latitude) from 8,000 to 6,000 pounds (no change to the Sebastes complex limit)."
1/1/1994	 4030 South 	" For Sebastes complex, bocaccio  and yellowtail,  cumulative limit of 80,000 pounds per calendar month, no more than 30,000 pounds may be bocaccio caught south of Cape Mendocino, California (4030 latitude)."
1/1/1994	 Cape lookout North 	" For Sebastes complex, bocaccio  and yellowtail,  cumulative limit of 80,000 pounds per calendar month, of which no more than 14,000 pounds may be yellowtail rockfish caught north of Cape Lookout, Oregon (4520.15 latitude), no more than 30,000 pounds may be yellowtail rockfish caught south of Cape Lookout"
9/1/1994	 4030 South 	" Increased the cumulative trip limit for the Sebastes complex caught south of Cape Mendocino, California (4030 latitude) in the limited entry groundfish fishery from 80,000 pounds to 100,000 pounds per calendar month."
1/1/1995	 4030 South 	" For Sebastes complex, cumulative limit of 100,000 pounds per month south of Cape Mendocino.  "
1/1/1995	 4030 South 	" For bocaccio, the cumulative limit is 30,000 pounds per month south of Cape Mendocino, and no limit north of Cape Mendocino (other than the limit on the Sebastes complex).  "
1/1/1995	 Cape lookout North 	" Sebastes Complex cumulative limit of 35,000 pounds per calendar month north of Cape Lookout, Oregon (4520.15 latitude), no more than 14,000 pounds may be yellowtail rockfish caught north of Cape Lookout, Oregon"
5/1/1995	 Cape lookout North 	" The yellowtail rockfish cumulative monthly limit increased from 14,000 pounds to 18,000 pounds north of Cape Lookout, Oregon"
5/1/1995	 Cape lookout South 	" For Sebastes complex, bocaccio  and yellowtail,  cumulative limit of 80,000 pounds per calendar month, no more than 30,000 pounds may be yellowtail rockfish caught south of Cape Lookout."
8/1/1995	 ALL 	" Increased the monthly cumulative trip limit for canary rockfish from 6,000 pounds (2,722 kg) to 9,000 pounds (4,082 kg).  The Sebastes complex limit was not increased."
1/1/1996	 ALL 	" Sebastes complex and bocaccio  200,000 pounds per 2-months south of Cape Mendocino.  For bocaccio, the cumulative limit is 60,000 pounds per 2-months south of Cape Mendocino, and no limit north of Cape Mendocino (other than the limit on the Sebastes complex).  "
1/1/1996	 ALL 	" for fishing in areas with different trip limits for the same species: Trip limits for a species or species complex may differ in different geographic areas along the coast.  The following crossover provisions apply to all vessels (limited entry and open access) operating in different geographical areas with different cumulative or per trip limits for the same species, except for species with daily-trip-limits (nontrawl sablefish, open access thornyhead), black rockfish off Washington State, or those otherwise exempted by a State declaration procedure (yellowtail rockfish and the Sebastes complex off Washington and Oregon)."
1/1/1996	 Cape lookout North 	" Sebastes complex and yellowtail cumulative limit of 70,000 pounds per specified 2-month period north of Cape Lookout, Oregon (4520.15  latitude), .  Within the cumulative 2-month limits for the Sebastes complex, no more than 32,000 pounds may be yellowtail rockfish caught north of Cape Lookout, Oregon"
9/1/1996	 Cape lookout North 	" Reduced the cumulative 2-month limits for yellowtail rockfish north of Cape Lookout from 32,000 pounds to 20,000 pounds "
11/1/1996	 4030 North 	" All Sebastes limits north of Cape Mendocino will be one-month cumulative limits to maintain the continuity of the Cape Lookout declaration option.  The cumulative trip limit for the Sebastes complex taken and retained north of Cape Lookout is 35,000 pounds per month, of which no more than 6,000 pounds may be yellowtail rockfish and no more than 9,000 pounds may be canary rockfish.  "
11/1/1996	 Cape lookout North 	" Reduced the cumulative limit for yellowtail rockfish north of Cape Lookout, Oregon (4520.15 latitude) to 6,000 pounds per month effective November 1 in an effort to keep landings within 10% of the harvest guideline.  "
1/1/1997	 4030 North 	" Sebastes Complex   limited entry fishery cumulative limit of 30,000 pounds per specified 2-month period north of Cape Mendocino, California (4030  latitude), no more than 6,000 pounds may be yellowtail rockfish"
1/1/1997	 ALL 	" for open access (non-groundfish) trawls in 1997, in addition to the limits for any groundfish species or complex in the limited entry fishery: Pink Shrimp  cumulative trip limit of 500 pounds (multiplied by the number of days of the trip) of groundfish species for any vessel engaged in fishing for pink shrimp.  In addition, not more than 300 pounds per trip may be sablefish and not more than one landing per day may include sablefish.  Vessels using shrimp gear may not exceed half the limited entry two-month cumulative limits in a month, and are limited to 3,000 pounds of yellowtail rockfish and 6,000 pounds of sablefish per month."
5/1/1997	 4030 South 	" Sebastes Complex (Including Yellowtail Rockfish and Bocaccio)  reduced the two-month cumulative limit on bocaccio to 10,000 pounds south of Cape Mendocino."
10/1/1997	 4030 North 	" Sebastes Complex (Including Yellowtail Rockfish and Bocaccio)  changed from two-month limits to one-month limits for Sebastes.  Increase Sebastes one month limits to 20,000 pounds north of Cape Mendocino no more than 5,000 pounds of which may be yellowtail rockfish north of Cape Mendocino"
10/1/1997	 4030 South 	" changed from two-month limits to one-month limits for  Sebastes complex 75,000 pounds south of Cape Mendocino, no more than 5,000 pounds of which may be bocaccio south of Cape Mendocino, and no more than 10,000 pounds of which may be canary rockfish coastwide"
10/1/1997	 ALL 	" Sebastes complex coastwide no more than 10,000 pounds of which may be canary rockfish"
1/1/1998	 4030 North 	" Sebastes Complex (Including yellowtail, canary and bocaccio rockfish):  limited entry fishery  Cumulative limit of 40,000 pounds per specified two-month period north of Cape Mendocino, California (4030  latitude), Within the cumulative two-month limits for the Sebastes complex, no more than 11,000 pounds may be yellowtail rockfish caught north of Cape Mendocino"
1/1/1998	 4030 South 	" Sebastes Complex (Including yellowtail, canary and bocaccio rockfish):  limited entry fishery  Cumulative limit of 150,000 pounds per two-months south of Cape Mendocino.   For bocaccio, the cumulative limit is 2,000 pounds per two-months south of Cape Mendocino, and no limit north "
5/1/1998	 4030 North 	" Sebastes Complex: Limited Entry:  increased cumulative limit for yellowtail to 13,000 pounds per specified two-month period north of Cape Mendocino."
7/1/1998	 4030 South 	" Limited Entry Sebastes Complex: south of Cape Mendocino, decreased the 2-month cumulative limit to 40,000 pounds."
7/1/1998	 ALL 	" Open Access Rockfish: removed overall rockfish monthly limit and replaced it with limits for component rockfish species: for Sebastes complex, monthly cumulative limit is 33,000 pounds, for widow rockfish, monthly cumulative trip limit is 3,000 pounds, for Pacific Ocean Perch, monthly cumulative trip limit is 4,000 pounds."
10/1/1998	 4030 South 	" Sebastes complex South of Cape Mendocino: Limited Entry: decreased monthly limit to 15,000 pounds."
1/1/1999	 4030 North 	" for the limited entry fishery Sebastes Complex (including Yellowtail Rockfish, Canary Rockfish, and Bocaccio):North of Cape Mendocino, California (4030  latitude), Phase 1: 24,000 pounds per period, for this period, the Sebastes complex limit north of Cape Mendocino equals the sum of the yellowtail and canary rockfish limits, a vessel may not exceed the overall Sebastes limit, regardless of the amount of yellowtail and/or canary rockfish landed within that limit; Phase 2: 25,000ápounds per period; Phase 3: 10,000 pounds per period"
1/1/1999	 4030 North 	" for the limited entry fishery Sebastes Complex (including Yellowtail Rockfish, Canary Rockfish, and Bocaccio):Yellowtail Rockfish: north of Cape Mendocino, Phase 1: 15,000 pounds per period; Phase 2: 13,000 pounds per period;  Phase 3: 5,000 pounds per period."
1/1/1999	 4030 North 	" for open access gear: Sebastes complex: north of Cape Mendocino, 3,600 pounds per month."
1/1/1999	 4030 South 	" for the limited entry fishery Sebastes Complex (including Yellowtail Rockfish, Canary Rockfish, and Bocaccio):South of Cape Mendocino, California, Phase1: 13,000 pounds per period; Phase 2: 6,500 pounds per period; Phase 3: 5,000ápounds per period."
1/1/1999	 4030 South 	" for the limited entry fishery Sebastes Complex (including Yellowtail Rockfish, Canary Rockfish, and Bocaccio):Bocaccio: south of Cape Mendocino, Phase 1: 750 pounds per month; Phase 2: 750 pounds per month; Phase 3: 750 pounds per month"
1/1/1999	 4030 South 	" for open access gear: Sebastes complex: south of Cape Mendocino, 2,000 pounds per month."
1/1/1999	 ALL 	" for the limited entry fishery Sebastes Complex (including Yellowtail Rockfish, Canary Rockfish, and Bocaccio):Canary Rockfish: coastwide, Phase 1: 9,000 pounds per period; Phase 2: 9,000 pounds per period; Phase 3: 3,000 pounds per period"
1/1/1999	 ALL 	" for open access gear: Yellowtail Rockfish: 2,600 pounds per month."
4/1/1999	 4030 North 	" For 'A' Platoon Vessels:  Open Access Sebastes complex: north of Cape Mendocino, increased overall monthly limit from 3,600 pounds to 12,000 pounds;"
4/1/1999	 4030 North 	" For 'A' Platoon Vessels: Open Access Sebastes complex:  north of Cape Mendocino,  Yellowtail Rockfish, increased cumulative limit from 2,600 pounds to 6,500 pounds per month;"
4/1/1999	 4030 North 	" For 'A' Platoon Vessels: Open Access Sebastes complex: north of Cape Mendocino,  Canary Rockfish, increased cumulative limit from 1,000 pounds to 2,000 pounds per month;"
4/1/1999	 4030 North 	" For 'A' Platoon Vessels:  Open Access Sebastes complex: north of Cape Mendocino,  Combined Black Rockfish and Blue Rockfish cumulative limit is 3,500 pounds per month;"
4/1/1999	 4030 North 	" For 'A' Platoon Vessels:  Open Access Sebastes complex: north of Cape Mendocino,  No more than 2,000 pounds per month may be species other than yellowtail, canary, black, and blue rockfish."
4/1/1999	 4030 South 	" For 'A' Platoon Vessels: Limited Entry Canary Rockfish: south of Cape Mendocino, decreased 2-month cumulative limit from 9,000 pounds to 6,500 pounds.  Landings of canary rockfish south of Cape Mendocino are limited by and count against the overall Sebastes complex 2-month cumulative limit south of Cape Mendocino, which is 6,500 pounds."
4/1/1999	 ALL 	" For 'A' Platoon Vessels: Limited Entry and Open Access Sebastes complex: north and south of Cape Mendocino, if a vessel takes and retains, possesses, or lands any splitnose or chilipepper rockfish south of Cape Mendocino, then the more restrictive Sebastes complex cumulative trip limit applies throughout the same cumulative limit period, no matter where the Sebastes complex is taken and retained, possessed, or landed."
4/16/1999	 4030 North 	" For 'B' Platoon Vessels:  Open Access Sebastes complex: north of Cape Mendocino, increased overall monthly limit from 3,600 pounds to 12,000 pounds;"
4/16/1999	 4030 North 	" For 'B' Platoon Vessels: Open Access Sebastes complex: north of Cape Mendocino,  Canary Rockfish, increased cumulative limit from 1,000 pounds to 2,000 pounds per month;"
4/16/1999	 4030 North 	" For 'B' Platoon Vessels: Open Access Sebastes complex:  north of Cape Mendocino,  Yellowtail Rockfish, increased cumulative limit from 2,600 pounds to 6,500 pounds per month;"
4/16/1999	 4030 North 	" For 'B' Platoon Vessels:  Open Access Sebastes complex: north of Cape Mendocino,  Combined Black Rockfish and Blue Rockfish cumulative limit is 3,500 pounds per month;"
4/16/1999	 4030 North 	" For 'B' Platoon Vessels:  Open Access Sebastes complex: north of Cape Mendocino,  No more than 2,000 pounds per month may be species other than yellowtail, canary, black, and blue rockfish."
4/16/1999	 4030 South 	" For 'B' Platoon Vessels: Limited Entry and Open Access Sebastes complex: north and south of Cape Mendocino, if a vessel takes and retains, possesses, or lands any splitnose or chilipepper rockfish south of Cape Mendocino, then the more restrictive Sebastes complex cumulative trip limit applies throughout the same cumulative limit period, no matter where the Sebastes complex is taken and retained, possessed, or landed."
4/16/1999	 4030 South 	" For 'B' Platoon Vessels: Limited Entry Canary Rockfish: south of Cape Mendocino, decreased 2-month cumulative limit from 9,000 pounds to 6,500 pounds.  Landings of canary rockfish south of Cape Mendocino are limited by and count against the overall Sebastes complex 2-month cumulative limit south of Cape Mendocino, which is 6,500 pounds."
6/1/1999	 4030 North 	" Limited Entry, Platoon 'A': Sebastes complex: north of Cape Mendocino, 2 month cumulative trip limit for the periods June 1 through July 31 and August 1 through September 30 increased from 25,000 pounds to 30,000 pounds, within which: (1) yellowtail rockfish north of Cape Mendocino, 2-month cumulative trip limit increased from 13,000 pounds to 16,000 pounds, and (2) canary rockfish north of Cape Mendocino, 2-month cumulative trip limit increased from 9,000 pounds to 14,000 pounds."
6/1/1999	 4030 North 	" Limited Entry, Platoon 'B': Sebastes complex: north of Cape Mendocino, 2 month cumulative trip limit for the periods June 1 through July 31 and August 1 through September 30 increased from 25,000 pounds to 30,000 pounds, within which: (1) yellowtail rockfish north of Cape Mendocino, 2-month cumulative trip limit increased from 13,000 pounds to 16,000 pounds, and (2) canary rockfish north of Cape Mendocino, 2-month cumulative trip limit increased from 9,000 pounds to 14,000 pounds."
6/1/1999	 4030 South 	" Limited Entry, Platoon 'A':  Sebastes complex: south of Cape Mendocino, limited entry 2 month cumulative trip limit for the periods June 1 through July 31 and August 1 through September 30 decreased from 6,500 pounds to 3,500 pounds, within which: (1) Bocaccio monthly trip limit of 750 pounds decreased and changed to a 2-month cumulative trip limit of 1,000 pounds with a 500 pounds per trip limit, and (2) canary rockfish 2-month cumulative trip limit decreased to 3,500 pounds."
6/1/1999	 4030 South 	" Limited Entry, Platoon 'B':  Sebastes complex: south of Cape Mendocino, limited entry 2 month cumulative trip limit for the periods June 1 through July 31 and August 1 through September 30 decreased from 6,500 pounds to 3,500 pounds, within which: (1) Bocaccio monthly trip limit of 750 pounds decreased and changed to a 2-month cumulative trip limit of 1,000 pounds with a 500 pounds per trip limit, and (2) canary rockfish 2-month cumulative trip limit decreased to 3,500 pounds."
8/1/1999	 4030 North 	" Sebastes complex, Limited Entry, Platoon 'A': north of Cape Mendocino, 2 month cumulative trip limit for the period August 1 through September 30 increased from 30,000 pounds to 35,000 pounds, within which: (1) yellowtail rockfish, north of Cape Mendocino, 2-month cumulative trip limit increased from 16,000 pounds to 20,000 pounds; (2) canary rockfish, north of Cape Mendocino, 2-month cumulative trip limit remains at 14,000 pounds; and (3) added 2-month cumulative trip limit of 10,000ápounds for rockfish other than yellowtail rockfish and canary rockfish north of Cape Mendocino."
8/16/1999	 4030 North 	" Sebastes complex, Limited Entry, Platoon 'B': north of Cape Mendocino, 2 month cumulative trip limit for the period August 16  through October 15   increased from 30,000 pounds to 35,000 pounds, within which: (1) yellowtail rockfish, north of Cape Mendocino, 2-month cumulative trip limit increased from 16,000 pounds to 20,000 pounds; (2) canary rockfish, north of Cape Mendocino, 2-month cumulative trip limit remains at 14,000 pounds; and (3) added 2-month cumulative trip limit of 10,000ápounds for rockfish other than yellowtail rockfish and canary rockfish north of Cape Mendocino."
10/1/1999	 4030 North 	" Limited Entry Sebastes Complex, 'A' platoon: decreased 1-month cumulative trip limits from 10,000 pounds (north of Cape Mendocino)  "
10/1/1999	 4030 North 	" Yellowtail Rockfish Limited Entry, 'A' platoon: north of Cape Mendocino, 1-month cumulative trip limit of 300 pounds."
10/1/1999	 4030 South 	" Limited Entry Sebastes Complex, 'A' platoon: decreased 1-month cumulative trip limits from 5,000 pounds (south of Cape Mendocino) to a coastwide limit of 500 pounds per month."
10/1/1999	 ALL 	" Limited Entry, 'A' platoon:  The 1-month cumulative trip limits for canary rockfish, coastwide; Bocaccio, south of Cape Mendocino; and other species in the Sebastes complex, which count together towards the overall Sebastes complex limit, may not exceed the 500-pound cumulative monthly limit."
10/16/1999	 4030 North 	" Limited Entry Sebastes Complex, 'B' platoon: decreased 1-month cumulative trip limits from 10,000 pounds (north of Cape Mendocino)  "
10/16/1999	 4030 North 	" Yellowtail Rockfish Limited Entry, 'B' platoon: north of Cape Mendocino, 1-month cumulative trip limit of 300 pounds."
10/16/1999	 4030 South 	" Limited Entry Sebastes Complex, 'B' platoon: decreased 1-month cumulative trip limits from 5,000 pounds (south of Cape Mendocino) to a coastwide limit of 500 pounds per month."
10/16/1999	 ALL 	" Limited Entry, 'B' platoon:  The 1-month cumulative trip limits for canary rockfish, coastwide; Bocaccio, south of Cape Mendocino; and other species in the Sebastes complex, which count together towards the overall Sebastes complex limit, may not exceed the 500-pound cumulative monthly limit."
1/1/2000	 4010 North 	" Limited entry trawl,  midwater trawl only, yellowtail rockfish, 10000 per 2 months"
1/1/2000	 4010 North 	" Limited entry trawl, small footrope only, yellowtail rockfish, 1500 lbs per month"
1/1/2000	 4010 North 	" Yellowtail rockfish, limited entry fixed gear, 1500 lbs per month"
1/1/2000	 ALL 	" Yellowtail rockfish, Open Access gear except exempted trawl, 100 lbs per month"
5/1/2000	 4010 North 	" Limited entry trawl,  midwater trawl only, yellowtail rockfish, 30000 lbs per 2 months"
5/1/2000	 4010 North 	" Limited entry trawl, small footrope only, yellowtail rockfish, 1500 lbs per month"
11/1/2000	 4010 North 	" Limited entry trawl,  midwater trawl only, yellowtail rockfish, 10000 per 2 months"
1/1/2001	 4010 North 	" Yellowtail rockfish, open access, 100 lbs per month"
1/1/2001	 4010 North 	" Yellowtail rockfish, limited entry fixed gear, 1500 lbs per month"
1/1/2001	 4010 North 	" Yellowtail rockfish, limited entry trawl, midwater trawl only, 30000 lbs per 2 months"
1/1/2001	 4010 North 	" Yellowtail rockfish, limited entry trawl, small footrope only, without flatfish - 1500 lbs per month, as flatfish bycatch - 33% by weight of all flatfish (except arrowtooth flounder) not to exceed 2500 lbs per trip and 20000 lbs per 2 months"
5/1/2001	 4010 North 	" Yellowtail rockfish, limited entry trawl, midwater trawl only, 15000 lbs per 2 months"
5/1/2001	 4010 North 	" Yellowtail rockfish, limited entry trawl, small footrope only, small footrope only, without flatfish - 1500 lbs per month, as flatfish bycatch - 33% by weight of all flatfish (except arrowtooth flounder) not to exceed 7500 lbs per trip and 15000 lbs per 2 months"
10/1/2001	 4010 North 	" Yellowtail rockfish, limited entry trawl, midwater trawl only, "
10/1/2001	 4010 North 	" Yellowtail rockfish, limited entry trawl, small footrope only, without flatfish - 1500 lbs per month, as flatfish bycatch - 33% by weight of all flatfish (except arrowtooth flounder) not to exceed 2500 lbs per trip and 30000 lbs per 2 months"
1/1/2002	 3427 South 	" shelf rockfish south including minor shelf rockfish, widow rockfish and yellowtail rockfish, open access, closed"
1/1/2002	 3427 South 	" Shelf rockfish south  including minor shelf rockfish, widow rockfish and yellowtail rockfish, limited entry fixed gear, closed"
1/1/2002	 4010 North 	" shelf rockfish north including minor shelf rockfish, widow rockfish and yellowtail rockfish, open access, 200 lbs per month"
